"sess","tre","r","activo","i","ordenes_compra","ordenes_venta","bb","bo","precio","dete","dete_a","z","dt"
"fbyj5j85",2,3,1,70,1.83222734820176,3.82408934216643,70,73,NA,0,20,-1.99186199396467,0
"fbyj5j85",2,3,1,71,2.80481276145009,3.882176159401,73,73,73,1,21,-1.07736339795091,0
"fbyj5j85",2,3,1,72,1.81390507471974,2.8677290701322,70,75,NA,0,21,-1.05382399541246,0
"fbyj5j85",2,3,1,73,1.81390507471974,2.8677290701322,70,75,NA,0,21,-1.05382399541246,0
"fbyj5j85",2,3,1,74,1.81390507471974,2.8677290701322,70,75,NA,0,21,-1.05382399541246,0
"fbyj5j85",2,4,1,1,1,3.86005835464129,65,65,65,1,1,-2.86005835464129,1
"fbyj5j85",2,4,1,2,1.9503743742164,4.73946663604434,65,60,61.6666666666667,1,2,-2.78909226182794,0
"fbyj5j85",2,4,1,3,1,3.76889698749723,60,60,60,1,3,-2.76889698749723,0
"fbyj5j85",2,4,1,4,1,3.71988703739723,60,60,60,1,4,-2.71988703739723,0
"fbyj5j85",2,4,1,5,3.25511974920518,4.73946663604434,65,60,61.6666666666667,1,5,-1.48434688683916,0
"fbyj5j85",2,4,1,6,2.33794351713936,2.76889698749723,60,60,60,1,6,-0.43095347035787,0
"fbyj5j85",2,4,1,7,3.09715347574937,3.7573671222978,80,65,72.5,2,8,-0.66021364654843,0
"fbyj5j85",2,4,1,8,2.27397782570722,3.9043820750088,70,70,70,1,9,-1.63040424930158,0
"fbyj5j85",2,4,1,9,2.27397782570722,3.9043820750088,70,70,70,1,10,-1.63040424930158,0
"fbyj5j85",2,4,1,10,1.55760731098551,3.57380060318252,30,70,NA,0,10,-2.01619329219701,0
"fbyj5j85",2,4,1,11,1.55760731098551,3.57380060318252,30,70,NA,0,10,-2.01619329219701,0
"fbyj5j85",2,4,1,12,2.27397782570722,4.36944649678763,70,70,70,1,11,-2.09546867108041,0
"fbyj5j85",2,4,1,13,2.27397782570722,3.36944649678763,70,70,70,1,12,-1.09546867108041,0
"fbyj5j85",2,4,1,14,1.48126905439872,2.77756262882601,30,80,NA,0,12,-1.29629357442729,0
"fbyj5j85",2,4,1,15,1.48126905439872,2.77756262882601,30,80,NA,0,12,-1.29629357442729,0
